restaurant_name,review_text,rating,processed_text
Flavour Of Spice,All good food was soo delicious and staff also very polite,5.0,good food soo delicious staff also polite
Flavour Of Spice,My personal recommendation. This is the best best best quality and tasty restaurant in Sikkim. Please visit and take tasty food.,5.0,personal recommendation best best best quality tasty restaurant sikkim please visit take tasty food
Flavour Of Spice,"Great place to eat, sweets are good but food is awesome. Try the moglai paratha & chilli chicken with butter tawa roti is fabulous.",5.0,great place eat sweet good food awesome try moglai paratha chilli chicken butter tawa roti fabulous
Flavour Of Spice,"Wonderful experience!!!  At last got a pure Bengali Restaurant in (Majitar)Sikkim after so many decades. Foods are delicious 😋. Now,  I am not far from my home due to  Flavor Of Spice .",5.0,wonderful experience last got pure bengali restaurant majitarsikkim many decade food delicious 😋 far home due flavor spice
Flavour Of Spice,Very good service and food also .,5.0,good service food also
Flavour Of Spice,delicious food at a price you never imagined.must try .,5.0,delicious food price never imaginedmust try
Flavour Of Spice,Good food available 🙂,5.0,good food available 🙂
Flavour Of Spice,Very good food,5.0,good food
Flavour Of Spice,Very good restaurant in Sikkim,5.0,good restaurant sikkim
Flavour Of Spice,Best food 😄,5.0,best food 😄
Flavour Of Spice,Very delicious items.,5.0,delicious item
Flavour Of Spice,Hiegenic and best food,5.0,hiegenic best food
Flavour Of Spice,Spice andTesty food,5.0,spice andtesty food
Flavour Of Spice,The boy in the main counter is very rude and doesn't know how to deal with customer,1.0,boy main counter rude doesnt know deal customer
Flavour Of Spice,Khub valo khabar,5.0,khub valo khabar
Punjabi Kitchen,"Great experience the staff are very nice foor is great in quality and quantity the washroom is very clean the environment is very great for family and friends

Great place",5.0,great experience staff nice foor great quality quantity washroom clean environment great family friend great place
Punjabi Kitchen,"Even the whole place was empty still staff denied  seats on bigger table, totally ruined the whole mood. Zero professionalism, zero customer service, lack of empathy and respect towards customers. If there was option for minus rating i would have given that. Never visiting again. Zero recommendation to anyone if they can't even smile at customer no reason to be in service industry. Addding on to this no proper hygiene maintained.",1.0,even whole place empty still staff denied seat bigger table totally ruined whole mood zero professionalism zero customer service lack empathy respect towards customer option minus rating would given never visiting zero recommendation anyone cant even smile customer reason service industry addding proper hygiene maintained
Punjabi Kitchen,"Avoid this place at all costs! The management is a disaster and the service is a joke. Our order was wrong, the wait times were ridiculous, and the staff was incredibly disrespectful when we pointed out the mistakes. A restaurant is more than just food—it's about hospitality, and this place has zero. Gatiya service, gatiya attitude. Never coming back",1.0,avoid place cost management disaster service joke order wrong wait time ridiculous staff incredibly disrespectful pointed mistake restaurant food — hospitality place zero gatiya service gatiya attitude never coming back
Punjabi Kitchen,"Tried Indian cuisine and it was totally worth it. The outlet has a seating arrangement of approx 30.
.
.
.
Personally would prefer Chicken Tikka Masala(₹280) along with Butter Naan.
.
.
.
The menu is customisable also, as we had mentioned the spiciness and it was prepared accordingly.
.
.
.
Found a bit pricy accordingly with the quantity
.
.
.
#Recommended",4.0,tried indian cuisine totally worth outlet seating arrangement approx 30 personally would prefer chicken tikka masala₹280 along butter naan menu customisable also mentioned spiciness prepared accordingly found bit pricy accordingly quantity recommended
Punjabi Kitchen,"A great place to stop if you are going to or returning from Gangtok. We ordered two plate of chicken bharta, wanted to order three but the owner suggested to order two first and then one more if needed. Along with it we had tandoori roti which were softband crispy and totally made of atta. Plus two tall glasses of lassi which we shared among three of us. Pricewise moderate, quality and quantity fantastic.",5.0,great place stop going returning gangtok ordered two plate chicken bharta wanted order three owner suggested order two first one needed along tandoori roti softband crispy totally made atta plus two tall glass lassi shared among three u pricewise moderate quality quantity fantastic
Punjabi Kitchen,Punjabi style food is of great quality but chinese and other items are not worth it...and I am a regular customer over here...waiting time is too long...all your patience will be lost.,3.0,punjabi style food great quality chinese item worth itand regular customer herewaiting time longall patience lost
Punjabi Kitchen,Food quantity and quality is good as compared to price. Restaurant vibes are also good. Their butter nun and chicken methimalai and lassi are a must try.,5.0,food quantity quality good compared price restaurant vibe also good butter nun chicken methimalai lassi must try
Punjabi Kitchen,Very bad customer service. Resturant is not busy at all and we've been waiting for more than 1.5 hours for the food. Horrible experience!,1.0,bad customer service resturant busy weve waiting 15 hour food horrible experience
Punjabi Kitchen,Food was good in taste...but we had to wait about 25 minutes for our order.please keep it in mind and tell your customer for delays,2.0,food good tastebut wait 25 minute orderplease keep mind tell customer delay
Punjabi Kitchen,"We got struck in a jam and started exploring good restaurants nearby, we went by Google review and chose this place. It's a family run place serving delicious food and tea.
We ordered.
Chicken Biryani 7/10
Tandoori Chicken Masala 9/10
Tawa Roti 9/10
Milk Tea 10/10

Washroom was very clean.",5.0,got struck jam started exploring good restaurant nearby went google review chose place family run place serving delicious food tea ordered chicken biryani 710 tandoori chicken masala 910 tawa roti 910 milk tea 1010 washroom clean
Punjabi Kitchen,Amazing place. Very clean ambience. Service is great. Our most common hangout place.,5.0,amazing place clean ambience service great common hangout place
Punjabi Kitchen,"One of the best places where I’ve had better chicken and butter naan 🔥. The owner is a very humble person , Great Ambience. A must try place if you’re in Sikkim ❤️.",5.0,one best place ’ better chicken butter naan 🔥 owner humble person great ambience must try place ’ sikkim ❤️
